run_name,cycle_count,test_time,point_id,max_strain_ue,min_strain_ue,remark
CSV-R03,30000,2026-06-24T17:30:00+08:00,06,192.3,-139.3,debug csv import sample
CSV-R03,30000,2026-06-24T17:30:00+08:00,07,215.77,-158.77,debug csv import sample
CSV-R03,30000,2026-06-24T17:30:00+08:00,08,223.22,-162.22,debug csv import sample
CSV-R03,30000,2026-06-24T17:30:00+08:00,09,238.95,-173.95,debug csv import sample
CSV-R03,30000,2026-06-24T17:30:00+08:00,10,264.6,-195.6,debug csv import sample
CSV-R04,40000,2026-06-24T18:30:00+08:00,01,122.35,-86.35,debug csv import sample
CSV-R04,40000,2026-06-24T18:30:00+08:00,02,137.59,-97.59,debug csv import sample
CSV-R04,40000,2026-06-24T18:30:00+08:00,03,153.1,-109.1,debug csv import sample
CSV-R04,40000,2026-06-24T18:30:00+08:00,04,168.87,-120.87,debug csv import sample
CSV-R04,40000,2026-06-24T18:30:00+08:00,05,184.9,-132.9,debug csv import sample
CSV-R04,40000,2026-06-24T18:30:00+08:00,06,201.2,-145.2,debug csv import sample
CSV-R04,40000,2026-06-24T18:30:00+08:00,07,229.91,-169.91,debug csv import sample
CSV-R04,40000,2026-06-24T18:30:00+08:00,08,234.58,-170.58,debug csv import sample
CSV-R04,40000,2026-06-24T18:30:00+08:00,09,251.67,-183.67,debug csv import sample
CSV-R04,40000,2026-06-24T18:30:00+08:00,10,283.65,-211.65,debug csv import sample
CSV-R05,50000,2026-06-24T19:30:00+08:00,01,126.64,-87.64,debug csv import sample
CSV-R05,50000,2026-06-24T19:30:00+08:00,02,142.62,-99.62,debug csv import sample
CSV-R05,50000,2026-06-24T19:30:00+08:00,03,158.96,-111.96,debug csv import sample
CSV-R05,50000,2026-06-24T19:30:00+08:00,04,175.66,-124.66,debug csv import sample
CSV-R05,50000,2026-06-24T19:30:00+08:00,05,192.7,-137.7,debug csv import sample
CSV-R05,50000,2026-06-24T19:30:00+08:00,06,210.1,-151.1,debug csv import sample
CSV-R05,50000,2026-06-24T19:30:00+08:00,07,244.04,-181.04,debug csv import sample
CSV-R05,50000,2026-06-24T19:30:00+08:00,08,245.94,-178.94,debug csv import sample
CSV-R05,50000,2026-06-24T19:30:00+08:00,09,264.4,-193.4,debug csv import sample
CSV-R05,50000,2026-06-24T19:30:00+08:00,10,302.7,-227.7,debug csv import sample
CSV-R06,60000,2026-06-24T20:30:00+08:00,01,130.92,-88.92,debug csv import sample
CSV-R06,60000,2026-06-24T20:30:00+08:00,02,147.66,-101.66,debug csv import sample
CSV-R06,60000,2026-06-24T20:30:00+08:00,03,164.83,-114.83,debug csv import sample
CSV-R06,60000,2026-06-24T20:30:00+08:00,04,182.45,-128.45,debug csv import sample
CSV-R06,60000,2026-06-24T20:30:00+08:00,05,200.5,-142.5,debug csv import sample
CSV-R06,60000,2026-06-24T20:30:00+08:00,06,219.0,-157.0,debug csv import sample
CSV-R06,60000,2026-06-24T20:30:00+08:00,07,258.18,-192.18,debug csv import sample
CSV-R06,60000,2026-06-24T20:30:00+08:00,08,257.31,-187.31,debug csv import sample
CSV-R06,60000,2026-06-24T20:30:00+08:00,09,277.12,-203.12,debug csv import sample
CSV-R06,60000,2026-06-24T20:30:00+08:00,10,321.75,-243.75,debug csv import sample
CSV-R07,70000,2026-06-24T21:30:00+08:00,01,135.2,-90.2,debug csv import sample
CSV-R07,70000,2026-06-24T21:30:00+08:00,02,152.69,-103.69,debug csv import sample
CSV-R07,70000,2026-06-24T21:30:00+08:00,03,170.7,-117.7,debug csv import sample
CSV-R07,70000,2026-06-24T21:30:00+08:00,04,189.23,-132.23,debug csv import sample
CSV-R07,70000,2026-06-24T21:30:00+08:00,05,208.3,-147.3,debug csv import sample
CSV-R07,70000,2026-06-24T21:30:00+08:00,06,227.89,-162.89,debug csv import sample
CSV-R07,70000,2026-06-24T21:30:00+08:00,07,272.32,-203.32,debug csv import sample
CSV-R07,70000,2026-06-24T21:30:00+08:00,08,268.67,-195.67,debug csv import sample
CSV-R07,70000,2026-06-24T21:30:00+08:00,09,289.84,-212.84,debug csv import sample
CSV-R07,70000,2026-06-24T21:30:00+08:00,10,340.8,-259.8,debug csv import sample
CSV-R08,80000,2026-06-24T22:30:00+08:00,01,139.49,-91.49,debug csv import sample
CSV-R08,80000,2026-06-24T22:30:00+08:00,02,157.72,-105.72,debug csv import sample
CSV-R08,80000,2026-06-24T22:30:00+08:00,03,176.56,-120.56,debug csv import sample
CSV-R08,80000,2026-06-24T22:30:00+08:00,04,196.02,-136.02,debug csv import sample
CSV-R08,80000,2026-06-24T22:30:00+08:00,05,216.1,-152.1,debug csv import sample
CSV-R08,80000,2026-06-24T22:30:00+08:00,06,236.79,-168.79,debug csv import sample
CSV-R08,80000,2026-06-24T22:30:00+08:00,07,286.45,-214.45,debug csv import sample
CSV-R08,80000,2026-06-24T22:30:00+08:00,08,280.03,-204.03,debug csv import sample
CSV-R08,80000,2026-06-24T22:30:00+08:00,09,302.57,-222.57,debug csv import sample
CSV-R08,80000,2026-06-24T22:30:00+08:00,10,359.85,-275.85,debug csv import sample
CSV-R09,90000,2026-06-24T23:30:00+08:00,01,143.77,-92.77,debug csv import sample
CSV-R09,90000,2026-06-24T23:30:00+08:00,02,162.75,-107.75,debug csv import sample
CSV-R09,90000,2026-06-24T23:30:00+08:00,03,182.43,-123.43,debug csv import sample
CSV-R09,90000,2026-06-24T23:30:00+08:00,04,202.81,-139.81,debug csv import sample
CSV-R09,90000,2026-06-24T23:30:00+08:00,05,223.9,-156.9,debug csv import sample
CSV-R09,90000,2026-06-24T23:30:00+08:00,06,245.69,-174.69,debug csv import sample
CSV-R09,90000,2026-06-24T23:30:00+08:00,07,300.59,-225.59,debug csv import sample
CSV-R09,90000,2026-06-24T23:30:00+08:00,08,291.39,-212.39,debug csv import sample
CSV-R09,90000,2026-06-24T23:30:00+08:00,09,315.29,-232.29,debug csv import sample
CSV-R09,90000,2026-06-24T23:30:00+08:00,10,378.9,-291.9,debug csv import sample
CSV-R10,100000,2026-06-25T00:30:00+08:00,01,148.06,-94.06,debug csv import sample
CSV-R10,100000,2026-06-25T00:30:00+08:00,02,167.78,-109.78,debug csv import sample
CSV-R10,100000,2026-06-25T00:30:00+08:00,03,188.29,-126.29,debug csv import sample
CSV-R10,100000,2026-06-25T00:30:00+08:00,04,209.6,-143.6,debug csv import sample
CSV-R10,100000,2026-06-25T00:30:00+08:00,05,231.7,-161.7,debug csv import sample
CSV-R10,100000,2026-06-25T00:30:00+08:00,06,254.59,-180.59,debug csv import sample
CSV-R10,100000,2026-06-25T00:30:00+08:00,07,314.72,-236.72,debug csv import sample
CSV-R10,100000,2026-06-25T00:30:00+08:00,08,302.75,-220.75,debug csv import sample
CSV-R10,100000,2026-06-25T00:30:00+08:00,09,328.02,-242.02,debug csv import sample
CSV-R10,100000,2026-06-25T00:30:00+08:00,10,397.95,-307.95,debug csv import sample
